epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,6758.8,0.65191,0.45626,1.05918,0.90569,0.85057,0.90836,0.75644,0.71658,0.55851,1.22426,0.004423,0.004423,0.004423
171,6798.13,0.65674,0.45469,1.06288,0.89722,0.85317,0.90747,0.75753,0.71855,0.55271,1.22463,0.00439,0.00439,0.00439
172,6837.47,0.65561,0.46627,1.05853,0.91781,0.84785,0.91289,0.76131,0.71547,0.53282,1.22729,0.004357,0.004357,0.004357
173,6876.81,0.66101,0.46454,1.06969,0.92648,0.8245,0.90154,0.75368,0.71665,0.54234,1.23174,0.004324,0.004324,0.004324
174,6916.18,0.64996,0.46277,1.06127,0.92944,0.84054,0.90901,0.76122,0.71103,0.52118,1.22488,0.004291,0.004291,0.004291
175,6955.6,0.64718,0.46371,1.05327,0.91777,0.84749,0.90755,0.76087,0.71591,0.53132,1.22993,0.004258,0.004258,0.004258
176,6994.95,0.64131,0.45028,1.05583,0.92939,0.8187,0.89727,0.74812,0.72487,0.55549,1.2406,0.004225,0.004225,0.004225
177,7034.31,0.65177,0.4589,1.06316,0.90439,0.82515,0.8892,0.74132,0.72859,0.5783,1.24188,0.004192,0.004192,0.004192
178,7073.69,0.65206,0.46427,1.05278,0.91947,0.8231,0.89692,0.74821,0.72322,0.56586,1.23379,0.004159,0.004159,0.004159
179,7113.05,0.6541,0.45948,1.05673,0.9253,0.81906,0.89688,0.75001,0.72353,0.56989,1.23114,0.004126,0.004126,0.004126
180,7152.42,0.64186,0.449,1.05553,0.91527,0.81341,0.89107,0.74674,0.71893,0.59159,1.23383,0.004093,0.004093,0.004093
181,7191.77,0.64626,0.45226,1.05556,0.91598,0.8126,0.88864,0.74279,0.716,0.58916,1.23147,0.00406,0.00406,0.00406
182,7231.14,0.64422,0.46866,1.05691,0.92502,0.82956,0.90246,0.7566,0.71779,0.55238,1.23438,0.004027,0.004027,0.004027
183,7270.49,0.64702,0.45484,1.06787,0.91361,0.84565,0.91354,0.76447,0.71339,0.52893,1.22861,0.003994,0.003994,0.003994
